datetime,open,high,low,close,volume
2022-07-18,192.5,199.67,189.8,190.92,16322800.0
2022-07-19,193.020004,201.97,188.39999,201.63,28178700.0
2022-07-20,208.17,216.97,200.10001,216.44,53920300.0
2022-07-21,214.3,224.32001,211.5,223.88,23430100.0
2022-07-22,222.38,229.35001,218.44,220.44,17798700.0
2022-07-25,221.31,225.23,216.35001,218.50999,10935200.0
2022-07-26,216.66,219.39,211.64,213.91,9508500.0
2022-07-27,216.48,227.78,214.58,226.75,10508400.0
2022-07-28,224.60001,228.10001,219.67,226.020004,8972700.0
2022-07-29,223.28999,230.75,222.39999,224.89999,9060500.0
2022-08-01,223.10001,228.39,221.0,226.21001,5525000.0
2022-08-02,222.75999,228.2,220.88,221.42,6361300.0
2022-08-03,224.78999,228.10001,222.42,226.73,6400700.0
2022-08-04,227.67999,232.070007,225.050003,229.91,7142700.0
2022-08-05,225.3,228.62,222.87,226.78,5533200.0
2022-08-08,227.49001,241.96001,226.41,233.49001,10982100.0
2022-08-09,231.62,232.2,224.64999,229.94,6181200.0
2022-08-10,236.99001,244.53999,236.60001,244.11,9254800.0
2022-08-11,244.67999,251.62,241.50999,242.7,8780100.0
2022-08-12,244.81,249.41,243.75999,249.3,6089900.0
2022-08-15,248.11,251.99001,247.50999,249.11,6527400.0
2022-08-16,247.16,249.28999,244.029999,245.69,5136800.0
2022-08-17,241.17999,244.24001,237.56,241.14999,5627200.0
2022-08-18,241.96001,246.48,239.28,245.17,5280400.0
2022-08-19,240.95,243.28999,235.67999,241.16,7486600.0
2022-08-22,232.55,233.48,224.59,226.53999,8630100.0
2022-08-23,226.46001,229.89999,224.3,224.55,5276900.0
2022-08-24,225.66,234.10001,223.94,229.61,5426300.0
2022-08-25,230.24001,234.16,229.0,233.98,3766900.0
2022-08-26,233.63,236.95,223.14999,223.28,5349800.0
2022-08-29,221.92999,229.87,221.52,224.57001,7109400.0
2022-08-30,226.66,229.78999,218.74001,220.64999,5740400.0
2022-08-31,227.0,233.88,223.42999,223.56,8615900.0
2022-09-01,220.72,230.37,219.47,230.039993,7292900.0
2022-09-02,231.029999,233.88,225.039993,226.11,8155600.0
2022-09-06,225.59,226.85001,214.69,218.39,7469000.0
2022-09-07,220.21001,229.33,218.27,228.96001,8149300.0
2022-09-08,224.16,228.74001,221.3,227.44,6737400.0
2022-09-09,229.62,234.78,229.62,233.57001,6699600.0
2022-09-12,233.61,239.49001,233.37,236.53,6047400.0
2022-09-13,226.5,227.69,217.72,218.13,8000100.0
2022-09-14,219.82001,228.0,215.8,224.12,8230300.0
2022-09-15,230.47,242.28999,229.10001,235.38,19454100.0
2022-09-16,231.22,241.36,227.83,240.13,18871600.0
2022-09-19,245.050003,245.25,235.75,243.63,17912400.0
2022-09-20,240.37,250.49001,239.66,242.85001,16037400.0
2022-09-21,242.67,248.3,236.67999,236.87,9166800.0
2022-09-22,235.35001,240.5,231.66,237.050003,10018000.0
2022-09-23,235.14,236.45,221.42999,226.41,11197800.0
2022-09-26,225.60001,232.7,223.0099945,224.070007,8234300.0
2022-09-27,228.63,230.64,220.72,224.36,7762200.0
2022-09-28,229.69,246.64999,227.38,245.2,17579700.0
2022-09-29,241.61,246.98,235.67999,239.71001,18994900.0
2022-09-30,237.0,242.44,233.25999,235.44,11841700.0
2022-10-03,237.85001,241.53999,232.85001,239.039993,8657400.0
2022-10-04,244.84,245.8,233.25,240.74001,13925900.0
2022-10-05,238.75999,241.59,227.38,236.73,10825600.0
2022-10-06,236.67999,244.28,233.91,240.020004,9188900.0
2022-10-07,235.77,237.33,224.28,224.75,9784800.0
2022-10-10,225.64,233.83,224.23,229.98,9991100.0
2022-10-11,226.050003,230.44,213.7,214.28999,15282400.0
2022-10-12,214.3,223.67,212.64,220.87,12952600.0
2022-10-13,212.69,234.47,211.73,232.50999,17505000.0
2022-10-14,237.8,238.8,229.50999,230.0,15275700.0
2022-10-17,234.41,249.92,234.39999,245.10001,21057800.0
2022-10-18,249.8,250.37,237.73,240.86,25776700.0
2022-10-19,265.0,279.29999,262.66,272.38,46685300.0
2022-10-20,272.78,278.38,266.38,268.16,17207100.0
2022-10-21,268.95001,290.75,265.67999,289.57001,24862700.0
2022-10-24,290.23001,290.48999,280.35999,282.45001,13326400.0
2022-10-25,286.95001,297.59,285.54999,291.019989,15100700.0
