Datetime,Close,Open,High,Low,Volume
2024-07-29 04:00:00,75.91,76.46,76.8997,75.08,4323884.0
2024-07-30 04:00:00,74.74,76.54,76.98,73.3,4354376.0
2024-07-31 04:00:00,78.23,77.6,79.47,77.04,6042923.0
2024-08-01 04:00:00,75.01,79.1,80.06,73.5,9588405.0
2024-08-02 04:00:00,70.77,71.91,72.44,68.97,11936386.0
2024-08-05 04:00:00,64.53,62.21,67.01,61.71,13287757.0
2024-08-06 04:00:00,66.3,65.21,69.13,64.68,8450274.0
2024-08-07 04:00:00,64.91,68.69,69.865,64.7001,6425818.0
2024-08-08 04:00:00,69.39,66.9,69.65,66.1,4358900.0
2024-08-09 04:00:00,70.24,69.02,70.85,68.53,4320878.0
2024-08-12 04:00:00,70.32,70.7,71.32,69.43,5028084.0
2024-08-13 04:00:00,73.77,71.63,73.88,71.53,4384496.0
2024-08-14 04:00:00,74.48,74.14,74.955,72.97,4931197.0
2024-08-15 04:00:00,78.26,76.78,78.38,76.57,4323691.0
2024-08-16 04:00:00,78.67,77.5,79.01,77.43,3257027.0
2024-08-19 04:00:00,80.93,78.87,80.93,78.52,3304947.0
2024-08-20 04:00:00,80.49,80.72,81.46,79.93,2806184.0
2024-08-21 04:00:00,81.36,80.94,81.97,80.19,3541023.0
2024-08-22 04:00:00,79.38,82.16,82.42,78.85,4354630.0
2024-08-23 04:00:00,81.81,80.75,82.24,79.77,5118813.0
2024-08-26 04:00:00,81.17,82.24,82.57,80.47,3301278.0
2024-08-27 04:00:00,81.51,80.61,81.73,80.13,2652627.0
2024-08-28 04:00:00,80.07,81.36,81.53,78.644,3505034.0
2024-08-29 04:00:00,80.03,80.9,82.34,79.56,5456689.0
2024-08-30 04:00:00,82.2,80.99,82.45,79.425,4147130.0
2024-09-03 04:00:00,77.14,80.79,80.95,76.0,6598918.0
2024-09-04 04:00:00,76.57,76.29,78.06,76.0,5215740.0
2024-09-05 04:00:00,76.01,76.54,77.77,74.97,4482026.0
2024-09-06 04:00:00,72.12,76.09,76.77,71.72,7081836.0
2024-09-09 04:00:00,74.48,73.81,75.01,73.0,4155641.0
2024-09-10 04:00:00,75.43,75.26,75.595,73.24,3427817.0
2024-09-11 04:00:00,77.7,75.4,78.14,71.77,6822083.0
2024-09-12 04:00:00,79.66,77.99,79.81,77.02,4560509.0
2024-09-13 04:00:00,80.83,79.88,81.29,79.77,4017900.0
2024-09-16 04:00:00,81.21,80.71,81.3,79.93,2639469.0
2024-09-17 04:00:00,81.28,82.15,82.79,80.28,3493484.0
2024-09-18 04:00:00,80.5,81.53,83.67,80.28,5697774.0
2024-09-19 04:00:00,84.59,84.63,85.42,83.3807,5079543.0
2024-09-20 04:00:00,84.02,83.95,84.555,82.73,4089066.0
2024-09-23 04:00:00,84.67,84.55,84.99,84.01,3149300.0
2024-09-24 04:00:00,85.39,85.02,85.42,83.75,3467166.0
2024-09-25 04:00:00,84.55,85.09,85.41,84.07,3043117.0
2024-09-26 04:00:00,85.57,86.51,86.63,84.49,3761668.0
2024-09-27 04:00:00,85.09,85.98,86.3486,84.66,3148033.0
2024-09-30 04:00:00,86.19,84.61,86.37,83.58,3362679.0
2024-10-01 04:00:00,83.8,85.91,85.93,82.58,5914236.0
2024-10-02 04:00:00,83.81,83.33,84.3,82.25,3100894.0
2024-10-03 04:00:00,83.34,83.17,84.23,82.33,3960180.0
2024-10-04 04:00:00,85.52,85.27,85.71,83.43,4977751.0
2024-10-07 04:00:00,83.22,84.77,85.06,82.67,4657239.0
2024-10-08 04:00:00,85.53,84.3,85.7798,83.93,3049247.0
2024-10-09 04:00:00,87.27,85.5,87.5399,85.24,3551199.0
2024-10-10 04:00:00,86.79,86.66,87.44,86.05,3300329.0
2024-10-11 04:00:00,88.22,86.65,88.57,86.6,2940612.0
2024-10-14 04:00:00,90.39,88.99,90.82,88.83,2982088.0
